Accident_Index,Location_Easting_OSGR,Location_Northing_OSGR,Longitude,Latitude,Police_Force,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Date,Day_of_Week,Time,Local_Authority_(District),Local_Authority_(Highway),1st_Road_Class,1st_Road_Number,Road_Type,Speed_limit,Junction_Detail,Junction_Control,2nd_Road_Class,2nd_Road_Number,Pedestrian_Crossing-Human_Control,Pedestrian_Crossing-Physical_Facilities,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Special_Conditions_at_Site,Carriageway_Hazards,Urban_or_Rural_Area,Did_Police_Officer_Attend_Scene_of_Accident,LSOA_of_Accident_Location
2005930000009,340680,730650,-2.964301,56.464293,Tayside,Slight,2,1,06/12/2005,Tuesday,11:30,Dundee City,Dundee City,C,241,Single carriageway,30,T or staggered junction,Give way or uncontrolled,Unclassified,0,None within 50 metres ,No physical crossing facilities within 50 metres,Daylight,Fine no high winds,Dry,None,None,Urban,Yes,
2005930000036,340620,730290,-2.965192,56.461052,Tayside,Slight,1,1,01/12/2005,Thursday,14:30,Dundee City,Dundee City,A,923,Dual carriageway,30,T or staggered junction,Give way or uncontrolled,Unclassified,0,None within 50 metres ,"Pelican, puffin, toucan or similar non-junction pedestrian light crossing",Daylight,Fine no high winds,Dry,None,None,Urban,Yes,
2005930000065,339750,731850,-2.979669,56.474954,Tayside,Serious,2,1,09/12/2005,Friday,08:00,Dundee City,Dundee City,B,960,Roundabout,30,Roundabout,Give way or uncontrolled,B,960,None within 50 metres ,No physical crossing facilities within 50 metres,Darkness - lights lit,Raining no high winds,Wet or damp,None,None,Urban,Yes,
2005930000126,336990,729860,-3.023985,56.456717,Tayside,Serious,1,1,14/12/2005,Wednesday,15:35,Dundee City,Dundee City,C,235,Single carriageway,30,T or staggered junction,Give way or uncontrolled,Unclassified,0,None within 50 metres ,No physical crossing facilities within 50 metres,Daylight,Fine no high winds,Dry,None,None,Urban,Yes,
2005930000129,338780,730700,-2.995143,56.464499,Tayside,Slight,2,1,14/12/2005,Wednesday,17:45,Dundee City,Dundee City,Unclassified,0,Single carriageway,30,Crossroads,Give way or uncontrolled,Unclassified,0,None within 50 metres ,No physical crossing facilities within 50 metres,Darkness - lights lit,Fine no high winds,Wet or damp,None,None,Urban,Yes,
2005930000132,339440,730050,-2.984282,56.458745,Tayside,Slight,1,1,14/12/2005,Wednesday,09:10,Dundee City,Dundee City,Unclassified,0,Single carriageway,30,Not at junction or within 20 metres,Data missing or out of range,Data missing or out of range,0,None within 50 metres ,Zebra,Daylight,Fine no high winds,Wet or damp,Mud,None,Urban,Yes,
2005930000143,342780,734100,-2.930983,56.495544,Tayside,Serious,2,1,15/12/2005,Thursday,18:15,Dundee City,Dundee City,C,239,Single carriageway,30,T or staggered junction,Give way or uncontrolled,Unclassified,0,None within 50 metres ,No physical crossing facilities within 50 metres,Darkness - lights lit,Fine no high winds,Frost or ice,None,None,Rural,Yes,
2005930000174,340200,731510,-2.972287,56.471958,Tayside,Serious,1,1,16/12/2005,Friday,15:25,Dundee City,Dundee City,Unclassified,0,Single carriageway,30,Not at junction or within 20 metres,Data missing or out of range,Data missing or out of range,0,None within 50 metres ,No physical crossing facilities within 50 metres,Daylight,Fine no high winds,Dry,None,None,Urban,Yes,
2005930000188,339670,732790,-2.981185,56.483388,Tayside,Slight,1,1,18/12/2005,Sunday,17:20,Dundee City,Dundee City,A,90,Dual carriageway,50,Not at junction or within 20 metres,Data missing or out of range,Data missing or out of range,0,None within 50 metres ,No physical crossing facilities within 50 metres,Darkness - lights lit,Raining no high winds,Wet or damp,None,None,Urban,Yes,
2005930000209,342250,731470,-2.939007,56.471854,Tayside,Slight,2,1,19/12/2005,Monday,16:30,Dundee City,Dundee City,C,219,Single carriageway,30,Not at junction or within 20 metres,Data missing or out of range,Data missing or out of range,0,None within 50 metres ,No physical crossing facilities within 50 metres,Darkness - lights lit,Fine no high winds,Dry,None,None,Urban,Yes,
