Accident_Index,Location_Easting_OSGR,Location_Northing_OSGR,Longitude,Latitude,Police_Force,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Date,Day_of_Week,Time,Local_Authority_(District),Local_Authority_(Highway),1st_Road_Class,1st_Road_Number,Road_Type,Speed_limit,Junction_Detail,Junction_Control,2nd_Road_Class,2nd_Road_Number,Pedestrian_Crossing-Human_Control,Pedestrian_Crossing-Physical_Facilities,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Special_Conditions_at_Site,Carriageway_Hazards,Urban_or_Rural_Area,Did_Police_Officer_Attend_Scene_of_Accident,LSOA_of_Accident_Location
2016930000001,337976,736915,-3.009671,56.520222,Tayside,Slight,1,1,30/08/2016,Tuesday,12:20,Dundee City,Dundee City,Unclassified,0,Single carriageway,30,Not at junction or within 20 metres,Data missing or out of range,Data missing or out of range,0,None within 50 metres ,No physical crossing facilities within 50 metres,Daylight,Fine no high winds,Dry,None,None,Rural,Yes,
2016930000007,338005,730283,-3.00762,56.460652,Tayside,Slight,2,2,14/12/2016,Wednesday,18:50,Dundee City,Dundee City,C,240,Single carriageway,30,T or staggered junction,Give way or uncontrolled,Unclassified,0,None within 50 metres ,No physical crossing facilities within 50 metres,Darkness - lights lit,Fine no high winds,Dry,None,None,Urban,Yes,
2016930000009,340898,730781,-2.960794,56.465498,Tayside,Serious,1,2,22/12/2016,Thursday,14:40,Dundee City,Dundee City,Unclassified,0,Single carriageway,30,T or staggered junction,Give way or uncontrolled,C,241,None within 50 metres ,No physical crossing facilities within 50 metres,Daylight,Fine no high winds,Wet or damp,None,None,Urban,Yes,
2016930000014,340585,731660,-2.966073,56.473354,Tayside,Slight,2,1,10/10/2016,Monday,11:49,Dundee City,Dundee City,Unclassified,0,Single carriageway,30,Crossroads,Give way or uncontrolled,Unclassified,0,None within 50 metres ,No physical crossing facilities within 50 metres,Daylight,Fine no high winds,Dry,None,None,Urban,Yes,
2016930000017,337373,733800,-3.01872,56.492161,Tayside,Serious,1,1,23/07/2016,Saturday,21:10,Dundee City,Dundee City,Unclassified,0,Single carriageway,30,Not at junction or within 20 metres,Data missing or out of range,Data missing or out of range,0,None within 50 metres ,No physical crossing facilities within 50 metres,Daylight,Fine no high winds,Dry,None,None,Urban,Yes,
2016930000019,340510,730006,-2.966913,56.458487,Tayside,Slight,2,1,05/07/2016,Tuesday,12:45,Dundee City,Dundee City,A,919,Single carriageway,30,T or staggered junction,Give way or uncontrolled,B,Data missing or out of range,None within 50 metres ,Zebra,Daylight,Fine no high winds,Dry,None,None,Urban,Yes,
2016930000025,343271,733140,-2.9228,56.486981,Tayside,Slight,2,3,12/01/2016,Tuesday,13:55,Dundee City,Dundee City,C,229,Single carriageway,30,Not at junction or within 20 metres,Data missing or out of range,Data missing or out of range,0,None within 50 metres ,No physical crossing facilities within 50 metres,Daylight,Fine no high winds,Wet or damp,None,None,Urban,Yes,
2016930000028,339424,731894,-2.984971,56.475308,Tayside,Slight,1,1,06/01/2016,Wednesday,16:40,Dundee City,Dundee City,Unclassified,0,Single carriageway,30,T or staggered junction,Give way or uncontrolled,B,960,None within 50 metres ,No physical crossing facilities within 50 metres,Darkness - lights lit,Raining no high winds,Wet or damp,None,None,Urban,Yes,
2016930000032,336587,732942,-3.031274,56.484348,Tayside,Slight,1,2,22/01/2016,Friday,00:04,Dundee City,Dundee City,Unclassified,0,Single carriageway,30,Not at junction or within 20 metres,Data missing or out of range,Data missing or out of range,0,None within 50 metres ,No physical crossing facilities within 50 metres,Darkness - no lighting,Fine no high winds,Wet or damp,None,None,Rural,Yes,
2016930000036,340528,730056,-2.966632,56.458939,Tayside,Slight,2,1,23/10/2016,Sunday,19:10,Dundee City,Dundee City,A,991,Dual carriageway,30,Not at junction or within 20 metres,Data missing or out of range,Data missing or out of range,0,None within 50 metres ,No physical crossing facilities within 50 metres,Darkness - lights lit,Raining no high winds,Wet or damp,None,None,Urban,Yes,
